date,all_kwh,year,month,day,hour,day_of_week,is_weekend,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,is_weekend_sin,is_weekend_cos,season_sin,season_cos,holiday,temperature,humidity,dew_point,temp_feels,precipitation,wet_bulb_temperature,is_day,sunshine_duration,direct_radiation,wind_speed,wind_direction,wind_gusts,shortwave_radiation,wind_dir_sin,wind_dir_cos,cooling_index,THI,dewpoint_spread,solar_load,wind_speed_sq,schedule_open,energy_type_numeric,CDH,CDH_Rolling_3h,hours_from_open,is_precooling,is_weekend_startup,is_startup_window,is_shutdown_window,lag24,lag168,weekend_lag168,weekday_lag24,ramp_24,mean_24_4h,temp_diff_24,temp_slope_3h
2025-04-05 21:00:00,4641.79999999702,2025,4,5,21,5,1,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,15.2,74,10.5,13.9,0.0,12.2,0,0.0,0.0,9.8,104,23.0,0.0,0.9702957262759964,-0.2419218955996677,0.0,15.0999,4.699999999999999,0.0,96.04000000000002,1,1,0.0,0.0,11,0,0,0,0,4781.5,3822.5,3822.5,0.0,-62.3999999910593,4687.77499999851,1.8999999999999986,-4.100000000000001
2025-04-05 22:00:00,4723.9000000059605,2025,4,5,22,5,1,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,14.1,80,10.8,12.8,0.0,11.9,0,0.0,0.0,10.8,108,19.1,0.0,0.9510565162951536,-0.3090169943749473,0.0,14.144,3.299999999999999,0.0,116.64,1,1,0.0,0.0,12,0,0,0,1,4720.79999999702,4884.199999988079,4884.199999988079,0.0,-60.70000000298023,4771.199999999255,0.9000000000000004,-3.799999999999999
2025-04-05 23:00:00,4092.25,2025,4,5,23,5,1,1,-0.2588190451025215,0.965925826289068,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,13.3,84,10.6,11.9,0.0,11.5,0,0.0,0.0,10.9,103,20.9,0.0,0.9743700647852352,-0.224951054343865,0.0,13.405600000000002,2.700000000000001,0.0,118.81,0,1,0.0,0.0,13,0,0,0,1,4368.4000000059605,4051.0,4051.0,0.0,-352.3999999910593,4678.64999999851,0.0,-3.3000000000000007
2025-04-06 00:00:00,2158.0999999940395,2025,4,6,0,6,1,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,12.6,87,10.5,11.4,0.0,11.2,0,0.0,0.0,8.7,82,19.8,0.0,0.9902680687415704,0.1391731009600654,0.0,12.73585,2.1,0.0,75.68999999999998,0,0,0.0,0.0,-10,0,0,0,0,2158.0999999940395,2310.70000000298,2310.70000000298,0.0,-2210.300000011921,4007.199999999255,-0.8000000000000007,-2.5999999999999996
2025-04-06 01:00:00,1258.0,2025,4,6,1,6,1,1,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,11.5,91,10.1,10.7,0.0,10.5,0,0.0,0.0,5.7,66,15.8,0.0,0.9135454576426008,0.4067366430758002,0.0,11.6485,1.4000000000000004,0.0,32.49,0,0,0.0,0.0,-9,0,0,0,0,1258.0,1256.6000000089407,1256.6000000089407,0.0,-900.0999999940395,3126.324999999255,-1.9000000000000004,-2.5999999999999996
2025-04-06 02:00:00,830.7000000029802,2025,4,6,2,6,1,1,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,11.0,92,9.8,10.1,0.0,10.1,0,0.0,0.0,6.2,69,10.8,0.0,0.9335804264972016,0.3583679495453004,0.0,11.154,1.1999999999999993,0.0,38.440000000000005,0,0,0.0,0.0,-8,0,0,0,0,854.2999999970198,924.5,924.5,0.0,-403.70000000298023,2159.699999999255,-2.5,-2.3000000000000007
2025-04-06 03:00:00,742.7000000029802,2025,4,6,3,6,1,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,10.4,94,9.4,9.4,0.0,9.7,0,0.0,0.0,5.8,83,10.8,0.0,0.992546151641322,0.1218693434051474,0.0,10.5353,1.0,0.0,33.64,0,0,0.0,0.0,-7,0,0,0,0,770.2000000029802,798.2999999970198,798.2999999970198,0.0,-84.09999999403954,1260.1499999985099,-3.5,-2.1999999999999993
2025-04-06 04:00:00,726.7000000029802,2025,4,6,4,6,1,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,9.9,95,9.1,8.8,0.0,9.3,0,0.0,0.0,5.8,88,9.7,0.0,0.9993908270190958,0.034899496702501,0.0,10.0265,0.8000000000000007,0.0,33.64,0,0,0.0,0.0,-6,0,0,0,0,744.8999999910593,780.2000000029802,780.2000000029802,0.0,-25.30000001192093,906.8499999977648,-4.4,-1.5999999999999996
2025-04-06 05:00:00,724.1999999880791,2025,4,6,5,6,1,1,0.9659258262890684,0.2588190451025207,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,9.9,96,9.2,8.8,0.0,9.4,0,0.0,0.0,5.9,88,10.4,0.0,0.9993908270190958,0.034899496702501,0.0,10.0012,0.7000000000000011,0.0,34.81,0,0,0.0,0.0,-5,0,0,0,0,688.8000000119209,711.5,711.5,0.0,-56.099999979138374,764.5500000007451,-4.6,-1.0999999999999996
2025-04-06 06:00:00,644.7000000029802,2025,4,6,6,6,1,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,10.0,96,9.4,8.8,0.0,9.5,1,0.0,0.0,6.8,101,11.5,3.0,0.981627183447664,-0.1908089953765448,0.0,10.099,0.5999999999999996,3.0,46.24,0,0,0.0,0.0,-4,0,0,0,0,613.1999999880791,648.0,648.0,0.0,-75.60000002384186,704.2749999985099,-4.5,-0.40000000000000036
2025-04-06 07:00:00,659.4000000059605,2025,4,6,7,6,1,1,0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,11.7,92,10.4,10.6,0.0,10.7,1,3493.69,38.0,8.0,108,15.1,95.0,0.9510565162951536,-0.3090169943749473,0.0,11.8232,1.299999999999999,133.0,64.0,0,0,0.0,0.0,-3,0,0,0,0,638.0,658.0999999940395,658.0999999940395,0.0,24.80000001192093,671.2249999977648,-2.8000000000000007,1.799999999999999
2025-04-06 08:00:00,711.7999999970198,2025,4,6,8,6,1,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,14.4,80,11.0,13.7,0.0,12.1,1,3600.0,171.0,6.3,129,16.9,284.0,0.777145961456971,-0.6293203910498373,0.0,14.411,3.4000000000000004,455.0,39.69,0,0,0.0,0.0,-2,1,1,1,0,705.6000000089407,709.2999999970198,709.2999999970198,0.0,67.6000000089407,661.4000000022352,-0.5,4.5
2025-04-06 09:00:00,1087.0,2025,4,6,9,6,1,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,17.5,69,11.8,17.2,0.0,13.8,1,3600.0,340.0,5.7,152,18.4,490.0,0.4694715627858907,-0.882947592858927,0.0,16.9885,5.699999999999999,830.0,32.49,0,0,0.0,0.0,-1,1,1,1,0,911.8999999910592,880.2999999970198,880.2999999970198,0.0,206.2999999821185,717.1749999970198,0.5,7.5
2025-04-06 10:00:00,1977.4000000059605,2025,4,6,10,6,1,1,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,19.6,62,12.2,20.2,0.0,15.0,1,3600.0,501.0,5.7,193,19.8,672.0,-0.2249510543438649,-0.9743700647852352,0.0,18.5341,7.400000000000002,1173.0,32.49,1,0,0.0,0.0,0,0,0,1,0,1898.20000000298,1366.9000000059605,1366.9000000059605,0.0,986.3000000119208,1038.425000000745,0.3000000000000007,7.900000000000002
2025-04-06 11:00:00,2960.699999988079,2025,4,6,11,6,1,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,21.3,55,11.9,22.4,0.0,15.5,1,3600.0,619.0,7.1,234,22.3,803.0,-0.8090169943749473,-0.5877852522924732,0.0,19.617,9.4,1422.0,50.41,1,1,0.0,0.0,1,0,0,1,0,3031.20000000298,3099.4000000059605,3099.4000000059605,0.0,1132.9999999999998,1636.72500000149,0.10000000000000142,6.9
